Run_pulse,run_noise,ana_target,exttrig(on/off),grouptrig(on/off),cryotag(AB...Z),start_date,start_time,end_time,calrun
0,0,noise,off,off,D,2019/04/07,15:56,15:56,None
1,0,Co57,off,off,D,2019/04/07,15:58,17:36,None
2,2,noise,off,off,D,2019/04/07,,,None
