1,31,43
3,31,33
5,33,35
7,35,37
9,39,51
11,39,41
13,41
15,43
17,45,59
19,47,49
21,49,51
23,53
25,53,55
27,55,57
29,57,59
31,1,3
33,3,5
35,5,7
37,7
39,9,11
41,11,13
43,1,15
45,17
47,19
49,19,21
51,9,21
53,23,25
55,25,27
57,27,29
59,17,29
61,91,103
63,91,93
65,93,95
67,95,97
69,99,111
71,99,101
73,101
75,103
77,105,119
79,107,109
81,109,111
83,113
85,113,115
87,115,117
89,117,119
91,61,63
93,63,65
95,65,67
97,67
99,69,71
101,71,73
103,61,75
105,77
107,79
109,79,81
111,69,81
113,83,85
115,85,87
117,87,89
119,77,89
121,151,163
123,151,153
125,153,155
127,155,157
129,159,171
131,159,161
133,161
135,163
137,165,179
139,167,169
141,169,171
143,173
145,173,175
147,175,177
149,177,179
151,121,123
153,123,125
155,125,127
157,127
159,129,131
161,131,133
163,121,135
165,137
167,139
169,139,141
171,129,141
173,143,145
175,145,147
177,147,149
179,137,149
181,211,223
183,211,213
185,213,215
187,215,217
189,219,231
191,219,221
193,221
195,223
197,225,239
199,227,229
201,229,231
203,233
205,233,235
207,235,237
209,237,239
211,181,183
213,183,185
215,185,187
217,187
219,189,191
221,191,193
223,181,195
225,197
227,199
229,199,201
231,189,201
233,203,205
235,205,207
237,207,209
239,197,209
241,271,283
243,271,273
245,273,275
247,275,277
249,279,291
251,279,281
253,281
255,283
257,285,299
259,287,289
261,289,291
263,293
265,293,295
267,295,297
269,297,299
271,241,243
273,243,245
275,245,247
277,247
279,249,251
281,251,253
283,241,255
285,257
287,259
289,259,261
291,249,261
293,263,265
295,265,267
297,267,269
299,257,269
301,331,343
303,331,333
305,333,335
307,335,337
309,339,351
311,339,341
313,341
315,343
317,345,359
319,347,349
321,349,351
323,353
325,353,355
327,355,357
329,357,359
331,301,303
333,303,305
335,305,307
337,307
339,309,311
341,311,313
343,301,315
345,317
347,319
349,319,321
351,309,321
353,323,325
355,325,327
357,327,329
359,317,329
361,391,403
363,391,393
365,393,395
367,395,397
369,399,411
371,399,401
373,401
375,403
377,405,419
379,407,409
381,409,411
383,413
385,413,415
387,415,417
389,417,419
391,361,363
393,363,365
395,365,367
397,367
399,369,371
401,371,373
403,361,375
405,377
407,379
409,379,381
411,369,381
413,383,385
415,385,387
417,387,389
419,377,389
421,451,463
423,451,453
425,453,455
427,455,457
429,459,471
431,459,461
433,461
435,463
437,465,479
439,467,469
441,469,471
443,473
445,473,475
447,475,477
449,477,479
451,421,423
453,423,425
455,425,427
457,427
459,429,431
461,431,433
463,421,435
465,437
467,439
469,439,441
471,429,441
473,443,445
475,445,447
477,447,449
479,437,449
