Run_pulse,run_noise,ana_target,exttrig(on/off),grouptrig(on/off),cryotag(AB...Z),start_date,start_time,end_time,calrun
0,0,noise,off,off,F,2019/04/15,,,None
1,0,Mn,off,off,F,2019/04/15,,,None
2,2,noise,off,off,F,2019/04/15,,,None
3,3,noise,off,off,F,2019/04/15,,,None
4,3,Mn,off,off,F,2019/04/15,,,None
5,5,noise,off,off,F,2019/04/15,,,None
6,5,Mn,off,off,F,2019/04/15,,,None
7,7,noise,off,off,F,2019/04/17,,,None
8,7,Mn,off,off,F,2019/04/17,,,None
9,9,noise,off,off,F,2019/04/17,,,None
